1boy,"1個男人,1男"
massakasama,"馬薩卡薩馬"
massala,"馬薩拉"
massan,"馬山"
mast,"桅杆"
master_(vocaloid),"大師(vocaloid)"
master_artoria,"阿爾託利亞大師"
master_asia,"亞洲大師"
master_ball,"大師球"
master_chief,"士官長"
master_dojo_uniform,"道場大師制服"
master_nemesis,"主剋星"
master_spark,"火花大師"
master_sword,"大師劍"
masterpiece,"傑作"
masters_of_the_universe,"宇宙之主"
masterwork_apocalypse,"傑作啟示錄"
mastgg,"肥大"
masturbate,"自慰"
masturbating,"自慰"
masturbation,"自慰,手淫"
masturbation_through_clothes,"透過衣服手淫"
masu,"馬蘇"
masuda_(yousaytwosin),"增田(yousaytwosin)"
masuyama_ryou,"增山涼"
mat,"墊子"
mata_(matasoup),"馬塔(馬塔湯)"
mata_hari_(fate),"瑪塔哈里(fate)"
matador,"鬥牛士"
mataichi_mataro,"又一太郎"
matanonki,"馬塔農基"
mataro_(matarou),"麻太郎(麻太郎)"
matasabu,"又麻布"
matatabi_maru,"matatabi丸"
matatagi_hayato,"又田木隼人"
matayoshi,"又吉"
matching_hairstyle,"搭配發型"
matching_outfit,"配套服裝"
matching_shanghai,"匹配上海"
matchstick,"火柴"
matemi,"馬特米"
materclaws,"母爪"
materia,"材料"
material-d,"材料-d"
material-l,"材料-l"
material-s,"材料-s"
math,"數學"
mathew_(srmmk_mce),"馬修(srmmkmce)"
mathiamo13,"馬蒂亞莫13"
mathias_leth,"馬蒂亞斯萊斯"
matilda_fiship,"瑪蒂爾達魚"
mating_press,"配套壓力機"
mato_(mozu_hayanie),"馬託(mozuhayanie)"
mato_spectoru,"馬託斯派託魯"
matoba_risa,"馬託巴里薩"
matoi_ryuuko,"間井流子"
matoi_ryuuko_(cosplay),"間井流子(cosplay)"
matou_byakuya,"間桐白哉"
matou_kariya,"間桐刈谷"
matou_sakura,"間頭櫻花"
matou_sakura_(fate/extra),"間桐櫻(fate/額外)"
matou_shinji,"間桐真司"
matou_zouken,"間頭造拳"
matoyama,"間山"
matra_milan,"馬特拉米蘭"
matrix16,"矩陣16"
matryoshka_(vocaloid),"俄羅斯套娃(vocaloid)"
matryoshka_doll,"俄羅斯套娃"
matsu_(kancolle),"馬祖(艦娘)"
matsu_84,"馬祖84"
matsuba_(idiotlantern),"松葉(白痴燈籠)"
matsubara_kanon,"松原花音"
matsubara_kaoru,"松原薰"
matsubara_yuuna,"松原由奈"
matsubayashi_souta,"松林宗太"
matsuda_(matsukichi),"松田(matsukichi)"
matsuda_arisa,"松田有紗"
matsuda_chiyohiko,"松田千代彥"
matsuda_hikari,"松田光"
matsuda_yasuke,"松田康介"
matsuda_yuusuke,"松田佑介"
matsudaira_touko,"松平touko"
matsui_yasutsugu,"松井康繼"
matsukawa_(pale_scarlet),"松川(淡紅色)"
matsukaze_(kancolle),"松風(艦娘)"
matsukaze_tenma,"松風天馬"
matsukura_nemu,"松倉心目"
matsukuzu,"松久祖"
matsumae_ohana,"松前大花"
matsumi_kuro,"松美黑"
matsumi_yuu,"松美悠"
matsumiya_kiseri,"松宮kiseri"
matsumoto_rangiku,"松本亂菊"
matsumoto_rise,"松本崛起"
matsumoto_sarina,"松本紗麗娜"
matsumoto_yoriko,"松本賴子"
matsumotoke,"松本"
matsunaga777,"松永777"
matsunaga_garana,"松永garana"
matsunaga_ryo,"松永涼"
matsunaka_hiro,"松中弘"
matsuno_canel,"松野運河"
matsuno_chifuyu,"松野千冬"
matsuno_chiya,"松野千也"
matsuno_choromatsu,"松野長松"
matsuno_ichimatsu,"松野市松"
matsuno_jyushimatsu,"松野十生松"
matsuno_karamatsu,"松野唐松"
matsuno_osomatsu,"松野小松"
matsuno_todomatsu,"松野友松"
matsuo_(matuonoie),"松尾(matuonoie)"
matsuo_chizuru,"松尾千鶴"
matsuo_yukihiro,"松尾幸弘"
matsuo_yuusuke,"松尾佑介"
matsuoka_gou,"松岡溝"
matsuoka_rin,"松岡凜"
matsuri_(matsuike),"祭(松池)"
matsuri_(teriyaki),"祭(照燒)"
matsurika_youko,"祭花洋子"
matsuryuu,"松龍"
matsusaka_gyuu,"松阪牛"
matsushima_michiru,"松島美智留"
matsushita,"松下"
matsushita_makako,"松下真花子"
matsushita_yuu,"松下悠"
matsutani,"松谷"
matsuura_kanan,"松浦加南"
matsuura_nanase,"松浦七瀨"
matsuwa_(kancolle),"松和(艦娘)"
matsuyuki_atsumu,"松之厚木"
matsuzaki_miyuki,"松崎美雪"
matt_(pokemon),"馬特(口袋妖怪)"
mattari_illust,"mattari插圖"
mattari_yufi,"馬塔裡尤菲"
matte_painting,"數字繪景"
matterhorn_(arknights),"馬特霍恩(方舟之夜)"
mattress,"床墊"
matty_(zuwzi),"馬蒂(zuwzi)"
mature_(kof),"成熟(kof)"
mature_female,"成熟女性"
mature_male,"成熟的男性"
mauko_(girls_und_panzer),"mauko(少女與裝甲)"
maullarmaullar,"毛毛蟲"
mauser_98,"毛瑟98"
mauser_c96,"毛瑟c96"
mauve,"紫紅色"
mawaru_(mawaru),"馬瓦魯(馬瓦魯)"
mawile,"馬威勒"
max_melon,"最大甜瓜"
maxa',"最大'"
maxie_(pokemon),"馬克西(寵物小精靈)"
maxim_tomato,"馬克西姆番茄"
maximal,"最大"
maximilian_jenius,"馬克西米利安·傑尼烏斯"
may,"五月"
may_(guilty_gear),"五月(罪惡裝備)"
may_(gundam_build_divers_re:rise),"五月(高達建造潛水員re:rise)"
may_(pokemon),"五月(口袋妖怪)"
may_chang,"可能張"
may_of_doom,"五月末日"
maya_(azur_lane),"瑪雅(碧藍航線)"
maya_(kancolle),"瑪雅(艦娘)"
maya_fey,"瑪雅菲"
maya_g,"瑪雅克"
maya_kai_ni_(kancolle),"瑪雅凱妮(艦娘)"
maydrawfag,"梅拉法格"
mayer_(arknights),"邁爾(方舟之夜)"
mayl_sakurai_(mega_man),"maylsakurai(超級男人)"
maylene_(pokemon),"瑪琳(寵物小精靈)"
mayo_(miyusa),"梅奧(美優莎)"
mayo_chiki!,"蛋黃醬！"
mayo_riyo,"梅奧riyo"
mayogii,"馬約吉"
mayoi_neko_overrun!,"mayoineko越界！"
mayonnaise,"蛋黃醬"
mayura2002,"馬尤拉2002"
mayusaki_yuu,"真崎悠"
mayuzumi_fuyuko,"真純冬子"
mazaki_anzu,"真崎安祖"
mazda,"馬自達"
maze_(gochama_ze_gohan),"迷宮(gochamazegohan)"
maze_yuri,"迷宮尤里"
mazeran,"馬澤蘭"
mazinger_(series),"神奇女俠(系列)"
mazinger_z,"神奇女俠z"
mazinger_z_(mecha),"mazingerz(機甲)"
mazjojo,"馬喬喬"
mc_axis,"mc軸"
mc_lita,"麥克利塔"
mcdonald's,"麥當勞"
mcgunngu,"麥貢古"
mckeee,"麥基"
mdf_an,"中密度纖維板"
mdr_(girls'_frontline),"mdr(女孩前線)"
me!me!me!,"我！我！我！"
me!me!me!_dance_(meme),"我！我！我！舞蹈(模因)"
me-tan,"甲烷"
meadow,"草地,草甸"
meago,"米果"
meal,"膳食,一頓飯"
meandros,"米德羅斯"
measurements,"測量"
measuring,"測量"
measuring_cup,"量杯"
meat,"肉"
meat_day,"肉日"
meatball,"肉丸"
mebae,"梅巴"
mebaru,"元寶"
mecha,"機甲"
mecha-fiora,"機械菲奧拉"
mecha_musume,"機娘,機甲娘"
mechamusume,"機娘"
mechanic,"機械師"
mechanic_(ragnarok_online),"機械師(仙境傳說線上)"
mechanical,"機械"
mechanical_arms,"機械臂"
mechanical_ears,"機械耳朵"
mechanical_eye,"機械眼"
mechanical_halo,"機械光環"
mechanical_hands,"機械手"
mechanical_horns,"機械喇叭"
mechanical_legs,"機械腿"
mechanical_parts,"機械零件"
mechanical_pencil,"自動鉛筆"
mechanical_spine,"機械脊柱"
mechanical_tail,"機械尾翼"
mechanical_wings,"機械翼"
mechanization,"機械化"
mechrailgun,"機械軌道炮"
mechuragi,"機甲木"
medaka_box,"鱂盒"
medal,"獎牌"
medallion,"獎章"
medama_oyaji,"梅達瑪oyaji"
medarot,"梅達洛特"
medb_(alluring_chief_warden_look)_(fate),"medb(迷人的首席監獄長外觀)(fate)"
medb_(swimsuit_saber)_(fate),"medb(泳裝軍刀)(fate)"
medb_(swimsuit_saber)_(second_ascension)_(fate),"medb(泳裝軍刀)(第二次提升)(fate)"
medea_(fate),"美狄亞(fate)"
medea_(lily)_(fate),"美狄亞(百合)(fate)"
median_furrow,"中溝"
medic,"醫生"
medic_(sekaiju),"醫生(sekaiju)"
medical_eyepatch,"醫用眼罩"
medical_mask,"醫用口罩"
medical_scrubs,"醫用磨砂膏"
medicine,"醫藥"
medicine_melancholy,"藥憂鬱"
medieval,"中世紀"
meditation,"冥想"
medium_breasts,"中等胸部(c),中等乳房,中等胸部(C)"
medium_dress,"中號連衣裙"
medium_hair,"中等長度頭髮,中等長髮,中等頭髮"
medium_request,"中等請求"
medium_skirt,"中裙"
medium_tank,"中型坦克"
medjed_(fate)_(cosplay),"medjed(fate)(角色扮演)"
medli,"地中海"
medusa_(fate),"美杜莎(fate)"
medusa_(lancer)_(fate),"美杜莎(槍手)(fate)"
medusa_(rider)_(fate),"美杜莎(騎士)(fate)"
medusa_(rider)_(fate)_(cosplay),"美杜莎(騎士)(fate)(角色扮演)"
medusa_(rider)_(third_ascension)_(fate),"美杜莎(騎士)(第三次提升)(fate)"
medusa_(shingeki_no_bahamut),"美杜莎(shingekinobahamut)"
meeko,"米高"
meer_campbell,"梅爾坎貝爾"
meerkat_(kemono_friends),"貓鼬(kemono朋友)"
meerkat_ears,"貓鼬耳朵"
meerkat_tail,"貓鼬尾巴"
mefomefo,"甲福芬"
mega_charizard_x,"巨型噴火龍x"
mega_gardevoir,"超級前衛"
mega_lopunny,"巨型lopunny"
mega_lucario,"巨型路卡利歐"
mega_man_(character),"洛克人(角色)"
mega_man_(classic),"洛克人(經典)"
mega_man_(series),"洛克人(系列)"
mega_man_11,"巨人11"
mega_man_2,"巨人2"
mega_man_9,"洛克人9"
mega_man_battle_network,"洛克人戰網"
mega_man_legends,"洛克人傳奇"
mega_man_star_force,"洛克人星力"
mega_man_volnutt,"洛克人volnutt"
mega_man_x4,"洛克人x4"
mega_man_x:_command_mission,"洛克人x：指揮任務"
mega_man_x_(character),"洛克人x(角色)"
mega_man_x_(series),"洛克人x(系列)"
mega_man_x_dive,"洛克人x潛水"
mega_man_zero,"洛克人零"
mega_man_zx,"洛克人zx"
mega_man_zx_advent,"洛克人zx降臨"
mega_milk,"超級牛奶"
mega_pokemon,"超級口袋妖怪"
mega_stone,"巨石"
megahiyo,"兆豐"
megami_magazine,"女神雜誌"
megami_magazine_deluxe,"megami雜誌豪華版"
megami_paradise,"女神樂園"
megami_tensei,"女神時勢"
megane,"眼鏡/眼鏡娘"
megane_chuu,"梅根楚"
meganekko,"眼鏡/眼鏡娘"
meganeko,"眼鏡/眼鏡娘"
meganium,"兆"
megaphone,"擴音器"
megastructure,"巨型結構"
megatron,"威震天"
megumi_(girls_und_panzer),"惠(少女與裝甲)"
megumin,"惠惠"
megumin_(cosplay),"惠惠(角色扮演)"
megumiya,"惠宮"
megurigaoka_high_school_uniform,"巡丘高中校服"
megurine_luka,"巡音盧卡"
meguro_fukuzou,"目黑福藏"
meguru_(cookie),"meguru(餅乾)"
meguru_(megurunn),"巡視(megurunn)"
mei-fang,"美芳"
mei_(maysroom),"梅(maysroom)"
mei_(overwatch),"梅(守望先鋒)"
mei_miya,"美宮"
meicha,"美茶"
meihemu,"美禾木"
meiji_ken,"明治肯"
meiji_schoolgirl_uniform,"明治女高中生制服,明治年間女學生制服,明治女學生制服"
meika_mikoto,"美香美琴"
meiko,"明子"
meiko_(inuarashi),"明子(犬嵐)"
meimaru_inuchiyo,"犬之明丸"
meimei_(p&d),"美美(p&d)"
meimi_k,"美美k"
meimone,"美夢"
meimu_(infinity),"美目(無限)"
meinya_(made_in_abyss),"meinya(深淵製造)"
meion,"美安"
meiou_setsuna,"美歐setsuna"
meipoi,"美派"
meipu_hm,"美普嗯"
meira_(touhou),"梅拉(東方)"
meito_(maze),"明戶(迷宮)"
meitoro,"明虎"
meiya_neon,"美亞霓虹燈"
meji_aniki,"明治阿尼基"
mejiro_bright_(umamusume),"目白亮(umamusume)"
mejiro_haruhiko,"目白春彥"
mejiro_mcqueen_(end_of_sky)_(umamusume),"mejiromcqueen(天空盡頭)(umamusume)"
meka_(overwatch),"meka(守望先鋒)"
mel/a,"梅爾/a"
mel_(melty_pot),"mel(熔爐)"
melailai,"美來"
melanbread,"黑麵包"
melantha_(arknights),"梅蘭莎(方舟之夜)"
melaton,"褪黑激素"
melia_antiqua,"梅利亞古董"
melina_(elden_ring),"梅麗娜(elden戒指)"
meliodas,"梅利奧達斯"
melissabelle,"梅麗莎貝爾"
melleau,"梅洛"
mellozzo,"梅洛佐"
melodica,"口風琴"
melody_(projektmelody),"旋律(projektmelody)"
meloetta,"美洛艾塔"
meloetta_(aria),"美洛艾塔(詠歎調)"
melon,"甜瓜"
melon-chan,"甜瓜醬"
melon22,"甜瓜22"
melon_bread,"甜瓜麵包,菠蘿包"
melon_soda,"甜瓜汽水,綠色蘇打水"
melona,"甜瓜"
melonbooks,"瓜皮書"
melone,"甜瓜"
melony_(pokemon),"甜瓜(寵物小精靈)"
melopun,"美樂朋"
melowh,"溫柔"
melt_(vocaloid),"融化(vocaloid)"
melting,"熔化"
meltrandi,"梅爾蘭迪"
meltryllis_(swimsuit_lancer)_(fate),"meltryllis(泳裝槍手)(fate)"
meltryllis_(swimsuit_lancer)_(first_ascension)_(fate),"meltryllis(泳裝槍手)(第一次昇天)(fate)"
meltryllis_(swimsuit_lancer)_(second_ascension)_(fate),"meltryllis(泳裝槍手)(第二次提升)(fate)"
meltryllis_(third_ascension)_(fate),"meltryllis(第三次提升)(fate)"
melty+,"融化+"
melty_blood,"融化的血液"
mem,"記憶體"
meme,"模因"
meme50,"模因50"
meme_(me!me!me!),"模因(我！我！我！)"
meme_attire,"模因服裝"
memekko,"梅梅科"
memeno,"備忘錄"
memento_vivi,"紀念品vivi"
memories_off,"記憶關閉"
memory,"記憶體"
menace,"威脅"
menacing_(jojo),"來勢洶洶(jojo)"
menat,"門納特"
mendou_kusai,"門豆草賽"
mendou_saya,"門都說"
menea,"梅內亞"
meng_ziya,"孟子牙"
menotama,"梅諾塔瑪"
menou_kaname,"選單要名"
menoziriath,"月經"
menpoo,"門浦"
menstrual_pad,"月經墊"
menstruation,"月經"
ment,"精神"
menthako,"薄荷腦"
menu,"選單"
menu_board,"選單板"
meola,"梅奧拉"
meow_(nekodenki),"喵(貓電)"
meowfficer_(azur_lane),"喵喵(碧藍航線)"
meowstic,"喵喵叫"
meowstic_(female),"喵星人(女性)"
meowstic_(male),"喵星人(男)"
meowy_(chainsaw_man),"喵喵(電鋸人)"
mephist,"墨菲斯特"
mephisto_(arknights),"墨菲斯托(方舟之夜)"
mephistopheles_(fate),"梅菲斯特(fate)"
mepikari,"梅皮卡里"
merc_storia,"商業故事"
mercedes-benz,"賓士"
mercedes_(odin_sphere),"梅賽德斯(奧丁球)"
mercedes_von_martritz,"梅賽德斯·馮·馬特里茨"
merchandise,"商品"
merchant_(ragnarok_online),"商人(仙境傳說線上)"
mercury_(element),"汞(元素)"
mercury_symbol,"水銀符號"
mercy_(overwatch),"憐憫(守望先鋒)"
mercy_rabbit,"仁慈兔"
meredy_(tales),"梅雷迪(故事)"
meridian_project,"經絡工程"
merlin_(fate),"梅林(fate)"
merlin_(fate/prototype),"梅林(fate/原型)"
merlin_prismriver,"梅林稜鏡河"
merlusa,"梅盧薩"
mermaid,"美人魚"
mermaid_costume,"美人魚服裝"
mermaid_melody_pichi_pichi_pitch,"美人魚旋律pichipichipitch"
merman,"人魚"
meron,"梅龍"
meroune_lorelei,"meroune羅蕾萊"
merry_(diameri),"快樂(diameri)"
merry_christmas,"聖誕快樂"
merry_nightmare,"快樂的噩夢"
merry_program,"快樂的節目"
merrytail,"歡樂尾"
merryweather,"梅里韋瑟"
merunyaa,"梅魯尼亞"
merxkialis,"默克斯基亞利斯"
meshimase_idol,"meshimase偶像"
meslamtaea_(weapon),"meslamtaea(武器)"
mesousa,"梅蘇薩"
mesprit,"精神"
messenger_bag,"郵差包"
messikid,"梅西基德"
messy,"凌亂"
messy_(efuya),"凌亂(efuya)"
messy_hair,"凌亂的頭髮,凌亂髮型"
messy_room,"很亂的房間,凌亂的房間,雜亂的房間"
messy_sleeper,"凌亂的臥鋪"
meta,"元"
meta_knight,"元騎士"
metagross,"大雜燴"
metal,"金屬"
metal_baseball_bat,"金屬棒球棒"
metal_belt,"金屬帶"
metal_boots,"金屬靴"
metal_collar,"金屬項圈"
metal_crab_(arknights),"金屬蟹(arknights)"
metal_gear_(series),"金屬齒輪(系列)"
metal_gear_rising:_revengeance,"金屬齒輪崛起：復仇"
metal_gear_solid,"金屬齒輪實心"
metal_gear_solid_2,"金屬齒輪實心2"
metal_gear_solid_3,"金屬齒輪實心3"
metal_gear_solid_4,"金屬齒輪實心4"
metal_gear_solid_peace_walker,"金屬齒輪固體和平步行者"
metal_gear_solid_v,"金屬齒輪固體v"
metal_gloves,"金屬手套"
metal_skin,"金屬皮"
metal_slug,"金屬彈頭"
metal_slug_attack,"金屬彈頭攻擊"
metallican,"金屬素"
metamoran_vest,"變形背心"
metapod,"元足類"
metata,"後設資料"
meteor,"流星"
meteor_(arknights),"流星(方舟)"
meteor_shower,"流星雨"
meteora_osterreich,"流星osterreich"
meteorite_(arknights),"隕石(方舟)"
metera_(granblue_fantasy),"米達(碧藍幻想)"
meth_(emethmeth),"甲基(methmeth)"
metindone,"甲茚酮"
metis_(persona),"梅蒂斯(角色)"
meto31,"梅託31"
metroid,"銀河戰士"
metroid:_zero_mission,"銀河戰士：零任務"
metroid_(creature),"銀河戰士(生物)"
metroid_dread,"銀河戰士恐懼"
metroid_fusion,"銀河戰士融合"
metroid_prime,"銀河戰士素數"
mettaton,"萬通"
mew,"喵喵"
mew_ichigo,"喵一護"
mewkledreamy,"夢幻般的"
mewtwo,"超夢"
mexican_standoff,"墨西哥對峙"
mexico,"墨西哥"
mexif,"墨西哥"
meyoco,"美約科"
meyrin_hawke,"梅林霍克"
mezzotint,"銅版雕刻"
mg34,"毫克34"
mg42,"毫克42"
mg_mg,"毫克毫克"
mg_renders,"毫克渲染"
mhk_(mechamania),"mhk(機械狂)"
mia_(fire_emblem),"米婭(火徽)"
mia_fey,"米婭菲"
mia_flatpaddy,"米婭大田"
mia_taylor,"米婭·泰勒"
mian_(dream_c_club),"面(夢c俱樂部)"
miaogujun,"妙谷君"
miazi,"咪子"
miazuma_sarin,"美津沙林"
mibu_natsuki,"味部夏樹"
mic,"麥克風"
micaiah_(fire_emblem),"彌迦(火徽)"
micha_jawkan,"米查·喬坎"
michael_f91,"邁克爾f91"
michael_jackson,"邁克爾傑克遜"
michelle_(bang_dream!),"米歇爾(好夢！)"
michihasu,"道發"
michii_yuuki,"道井優樹"
michiking,"米奇金"
michimaru_(michi),"道丸(道)"
michiru_(amphibian),"michiru(兩棲動物)"
michishio_(kancolle),"道潮(艦娘)"
michishio_kai_ni_(kancolle),"michishiokaini(艦娘)"
micho,"米喬"
mickey_krog,"米奇克羅格"
mickey_mouse,"米老鼠"
mickey_mouse_ears,"米老鼠耳朵"
mickeysmith,"米奇史密斯"
micro_bikini,"覆蓋面積小的比基尼,迷你比基尼,微比基尼"
micro_bra,"微胸罩"
micro_panties,"布料很少的內褲,微型內褲"
micro_shorts,"微短褲"
micro_uzi_(girls'_frontline),"microuzi(少女前線)"
microbikini,"迷你比基尼"
microdress,"微型連衣裙"
micrograph,"微距攝影"
microphone,"麥克風"
microphone_stand,"麥克風支架"
microphone_wand,"麥克風棒"
microskirt,"超短裙"
microsoft,"微軟"
microspace,"微空間"
microwave,"微波爐"
mid-autumn_festival,"中秋節"
mid-stride,"中步"
midair,"半空"
midday,"中午"
middle_finger,"比出中指"
middle_w,"中間w,3手勢"
midna,"米德納"
midna_(true),"米德娜(真實)"
midnight_(banyex),"午夜(銀聯)"
midnight_(boku_no_hero_academia),"午夜(bokunohero學術界)"
midnight_bliss,"午夜幸福"
midori_(blue_archive),"midori(藍色檔案)"
midori_foo,"綠富"
midori_niku,"綠肉"
midoriiro_no_shinzou,"綠色的神造"
midorikawa_hana,"綠川花"
midorikawa_nao,"綠川直"
midorikawa_ryuuji,"綠川龍二"
midorikawa_you,"綠川你"
midorima_shintarou,"綠間真太郎"
midorino_eni,"綠野埃尼"
midoriya_izuku,"綠谷izuku"
midriff,"腹部,中腹部"
midriff_peek,"中腹部窺視"
midriff_sarashi,"腹部sarashi"
midway_princess,"中途公主"
mieharu,"三重春"
miel_(lessontome),"米爾(課本)"
miemia,"咪咪咪"
mienshao,"面哨"
mifune_miyu,"三船美優"
mifune_ryuuko,"三船龍子"
mifune_shioriko,"三船志織子"
mifuru,"三福魯"
might_guy,"可能的傢伙"
mighty_no._9,"強大的沒有。9"
mighty_yukiko,"強大的雪子"
mightyena,"強大的"
mignon,"米尼翁"
migu_(migmig),"咪咕(migmig)"
mihama_chiyo,"美浜千代"
mihama_junior_high_school_uniform,"美浜初中校服"
mihatarou,"三幡郎"
mihifu,"見聞"
miho_(last_origin),"miho(最後的起源)"
miho_(mi),"美穗(mi)"
mihoyo_technology_(shanghai)_co._ltd.,"米好友科技(上海)有限公司有限公司"
mii_(nintendo),"mii(任天堂)"
miia_(monster_musume),"miia(怪物娘)"
miito_shido,"三井士道"
miitoban,"米託班"
mika_(blue_archive),"米卡(藍色檔案)"
mika_(girls_und_panzer),"米卡(女孩和裝甲)"
mika_melatika,"米卡梅拉蒂卡"
mika_pikazo,"米卡皮卡佐"
mikado_shiina,"天皇椎名"
mikagami_ei,"三神榮"
mikagami_mamizu,"三神真水"
mikagami_sou,"三神總"
mikage_kirino,"御影桐野"
mikage_sekizai,"御影關子"
mikage_takashi,"御影隆"
mikagura_gakuen_kumikyoku,"御神倉學園組曲"
mikami,"三上"
mikami_komata,"三上駒田"
mikami_mika,"三上美嘉"
mikan-uji,"禦寒寺"
mikan_(bananoha),"蜜柑(香蕉葉)"
mikan_box,"麥肯盒子"
mikasa_(azur_lane),"三笠(碧藍航線)"
mikasa_ackerman,"三笠阿克曼"
mikasayaki,"三笠崎"
mikazuchi_zeus,"三日宙斯"
mikazuki_(kancolle),"三日月(艦娘)"
mikazuki_akira!,"三日月晃！"
mikazuki_munechika,"三日月宗近"
mikazuki_neko,"三日月貓"
mikazuki_sara,"三日月薩拉"
mikazuki_yozora,"三日月夜空"
mike156,"麥克156"
mike_inel,"邁克·伊內爾"
mikeco,"麥克科"
mikeou,"米歐"
mikeran_(mikelan),"邁克蘭(mikelan)"
mikhail_buran,"米哈伊爾·布朗"
miki_purasu,"三木purasu"
miki_sayaka,"三木早矢香"
miki_sayaka_(cosplay),"三木早矢香(角色扮演)"
mikicat,"神貓"
mikimoto_haruhiko,"御木本春彥"
mikipa,"米基帕"
mikisai,"三木齋"
mikisugi_aikurou,"三木杉合郎"
mikko_(girls_und_panzer),"mikko(少女與裝甲)"
mikleo_(tales),"mikleo(故事)"
miko,"巫女服"
miko_(royal_milk),"巫女(皇家牛奶)"
miko_embrace,"巫女擁抱"
miko_fly,"巫女飛"
miko_machi,"巫女町"
mikoko_(kemomimi_oukoku_kokuei_housou),"巫女(kemomimioukokukokueihousou)"
mikoma_sanagi,"三駒桑那吉"
mikoshiba_mikoto,"mikoshiba美琴"
mikoto_(oi_plus),"美琴(oiplus)"
mikoto_akemi,"明見美琴"
mikoyan,"米高揚"
mikozin,"米科津"
mikripkm,"米克裡普公里"
miku_(darling_in_the_franxx),"miku(弗蘭克斯的寵兒)"
miku_symphony_(vocaloid),"miku交響曲(vocaloid)"
mikuma_(kancolle),"三隈(艦娘)"
mikumikudance_(medium),"mikumikudance(中)"
mikuni_mizuki,"三國水木"
mikura_(kancolle),"三倉(艦娘)"
mikurou_(nayuta),"mikurou(那由多)"
mikurun,"米庫倫"
mila_(doa),"米拉(doa)"
mila_babicheva,"米拉babicheva"
milcho,"米爾喬"
mileina_vashti,"米萊娜·瓦什蒂"
miles_edgeworth,"英里edgeworth"
miles_morales,"英里士氣"
milestone_celebration,"里程碑慶典"
milf,"熟女"
milfa_(to_heart),"摩洛伊斯蘭解放陣線(對心臟)"
milihime_taisen,"milihime大戰"
milim_nava,"米利姆納瓦"
milim_nova,"米利姆新星"
milin_(orange_maru),"米林(橙丸)"
milinda_brantini,"米琳達布蘭蒂尼"
military,"軍事"
military_base,"軍事基地"
military_coat,"軍大衣"
military_hat,"軍帽"
military_helmet,"軍用頭盔"
military_jacket,"軍裝夾克"
military_operator,"軍事操作員"
military_rank_insignia,"軍銜徽章"
military_uniform,"軍裝,軍服"
military_vehicle,"軍車"
milk,"牛奶"
milk_(cookie),"牛奶(餅乾)"
milk_bottle,"奶瓶"
milk_breasts,"哺乳（大範圍）"
milk_carton,"牛奶盒,盒裝牛奶"
milk_churn,"牛奶攪動,牛奶週轉桶"
milk_puppy,"牛奶小狗"
milking,"哺乳（大範圍）"
milking_handjob,"擠奶打手槍"
milking_machine,"擠奶機"
milkpanda,"牛奶熊貓"
milkshake,"奶昔"
milky_rose,"乳白色玫瑰"
milky_way,"銀河系"
milla_maxwell,"米拉麥克斯韋"
mille,"千里"
millennium_puzzle,"千年之謎"
millhiore_f._biscotti,"millhioref.比斯科蒂"
milli_little,"毫小"
millia_rage,"毫亞憤怒"
millie_parfait,"米莉凍糕"
million_arthur_(series),"百萬亞瑟(系列)"
million_dreams_(idolmaster),"萬夢(偶像大師)"
millipen_(medium),"千本(中),毫釐筆"
milly_ashford,"米莉阿什福德"
milo_(pokemon),"米洛(寵物小精靈)"
milotic,"米羅"
miltank,"牛奶罐"
mima_(touhou),"mima(東方)"
mimamui,"咪咪咪"
mime_jr.,"小啞劇"
mimelond,"蜜瓜"
mimi-chan,"咪咪醬"
mimi_(mimi_puru),"咪咪(咪咪普魯)"
mimi_(princess_connect!),"咪咪(公主連線！)"
mimi_houllier_von_schwarzlang,"咪咪霍利爾馮施瓦茨朗"
mimic,"模仿"
mimic_chest,"模仿胸部"
mimikaki,"採耳,模仿,掏耳勺"
mimikaki_,"掏耳勺"
mimikaki_(men_bow),"mimikaki(男士弓)"
mimikyu,"擬態"
mimino_kurumi,"三美野久留美"
mimizuku_(sky:_children_of_the_light),"mimizuku(天空：光之子)"
mimonel,"米莫內爾"
mimori_suzuko,"三森鈴子"
mimura_kanako,"三村加奈子"
mimura_kaoru,"三村薰"
mimura_zaja,"三村扎亞"
mimyo,"咪咪"
min-naraken,"民納拉肯"
min_min_(arms),"最小最小(武器)"
mina_(pokemon),"米娜(寵物小精靈)"
mina_cream,"米娜奶油"
mina_tepes,"米娜tepes"
minaba_hideo,"水場秀夫"
minagiku,"南菊"
minah_(chaesu),"米娜(chaesu)"
minahoshi_taichi,"minahoshi太極"
minakami_mai,"水上舞"
minakami_rinka,"水上林卡"
minakamirin,"水上米林"
minami-ke,"南家"
minami_(apricot_tea),"南(杏茶)"
minami_(colorful_palette),"minami(彩色調色盤)"
minami_aomori,"南青森"
minami_chiaki,"南千秋"
minami_haruka,"南遙"
minami_juujisei,"南重生"
minami_kana,"南假名"
minami_kenjirou,"南健次郎"
minami_koharu,"南小春"
minami_kotori,"南小鳥"
minami_kotori_(bird),"南小鳥(鳥)"
minami_koyogi,"南光代木"
minami_mirei,"南美玲"
minami_rena,"南麗奈"
minami_saki,"南崎"
minami_seira,"南清良"
minami_yume,"南夢"
minamino_kanade,"南野金手"
minamisawa_atsushi,"南澤厚志"
minamiya_mia,"南宮米婭"
minamoto_chizuru,"源千鶴"
